stock,invested_amount,days,percentage_change,risk
6,712.12,77,0.28922,5
11,3584.57,157,0.14833,4
17,4493.81,48,-0.00223,1
11,5219.08,129,-0.28077,5
17,9992.98,168,0.01983,2
11,9546.31,46,-0.13884,4
9,9965.55,176,0.16861,5
3,2417.61,134,-0.01767,2
12,6197.41,162,0.07994,4
7,1346.11,48,-0.24509,5
17,1057.29,16,0.02028,2
19,1240.94,31,0.02667,2
1,7902.62,56,0.34982,5
15,1836.29,180,-0.03699,3
11,7194.23,65,-0.07129,4
13,6696.92,160,1.10807,5
7,7433.62,24,0.02126,2
1,838.26,147,0.17114,5
7,1757.54,163,0.58477,5
3,3295.51,144,-0.10844,4
20,1909.97,157,0.1778,5
18,3217.83,143,0.07112,4
20,2940.26,89,0.18779,5
4,1879.43,29,0.16509,5
1,4458.94,58,-0.11121,4
9,602.66,60,0.40341,5
14,2630.57,167,0.30442,5
8,2622.45,164,0.12925,4
7,740.37,128,0.27901,5
18,8098.86,117,0.15139,5
1,2474.15,75,0.29735,5
6,4268.09,79,-0.31005,5
5,1626.04,133,-0.98504,5
20,8144.52,155,0.28848,5
1,9950.86,33,-0.03078,3
15,7684.55,14,0.00392,1
9,8386.92,54,0.40918,5
4,4165.9,146,-0.07303,4
14,6484.35,98,0.11155,4
11,7214.86,177,0.36148,5
19,6214.43,76,0.04727,3
12,4267.89,132,-0.14142,4
16,4588.25,93,0.06428,3
11,1569.48,81,-0.04806,3
15,6950.39,146,-0.01366,2
20,6166.96,60,0.07578,4
8,2720.44,67,-0.00875,1
8,3777.13,35,-0.02113,2
1,4536.99,13,0.02127,2
16,6499.22,46,0.09668,4
13,3378.13,39,0.1561,5
19,6023.67,169,0.21954,5
2,5828.32,134,-0.30521,5
19,7750.41,159,-0.16306,5
7,7213.66,65,-1.01919,5
8,7126.8,51,0.37966,5
16,2401.89,73,0.06157,3
8,9902.66,111,0.07256,4
20,8165.61,80,0.12742,4
5,4144.28,37,0.40585,5
8,4750.28,96,0.2323,5
16,1896.3,141,0.21074,5
17,2653.53,103,0.04496,3
17,6688.93,82,-0.00524,1
14,6480.74,34,0.05864,3
8,3445.82,150,0.21179,5
5,5595.13,173,-0.03687,3
11,7191.23,133,-0.23776,5
14,5604.39,45,0.03323,3
4,1430.33,171,0.84067,5
13,5697.94,49,0.45665,5
10,9411.49,100,-0.75896,5
1,9307.66,6,-0.02245,2
10,4962.25,82,-0.78427,5
11,6978.42,22,-0.02046,2
11,8596.75,105,-0.12034,4
18,8891.54,67,0.14712,4
20,7307.47,178,0.00683,1
5,3064.64,91,-0.41908,5
6,5626.38,171,0.02387,2
11,9358.79,168,0.77839,5
16,3058.92,155,-0.21858,5
9,5946.24,155,0.0465,3
6,9829.77,112,0.35251,5
19,1629.86,134,0.11161,4
13,9129.87,145,0.29481,5
9,7087.26,151,-0.12068,4
13,9744.09,148,-0.0012,1
6,3797.33,143,-0.60753,5
14,9166.35,176,0.09833,4
19,3173.05,49,0.26877,5
3,1494.2,96,-0.08111,4
18,2175.91,17,0.04708,3
1,7550.8,92,0.49906,5
6,1617.79,140,0.35534,5
16,3658.71,166,0.14304,4
15,5879.92,153,0.11196,4
13,9632.46,164,0.37743,5
8,4020.06,52,0.09687,4
20,819.37,127,0.62274,5
1,1188.48,65,0.02929,2
15,622.02,105,0.00594,1
8,3679.32,144,-0.17151,5
16,8074.44,170,-0.02951,2
8,6493.17,170,0.14302,4
16,6596.05,39,0.15677,5
11,3859.57,43,0.02569,2
6,9110.76,160,-0.51858,5
20,9164.75,179,-0.09668,4
18,9245.12,26,-0.02056,2
14,5581.25,12,0.01219,2
13,5859.88,154,0.28935,5
3,7026.73,34,-0.00665,1
15,9807.92,28,0.04644,3
3,6578.19,132,-0.18243,5
20,9051.46,90,0.23659,5
11,7241.94,7,0.07204,4
10,7196.67,126,0.92686,5
1,3366.48,169,-0.78959,5
1,5484.95,61,0.16986,5
7,3858.67,55,-0.284,5
1,6665.2,18,0.30237,5
15,4446.98,139,0.21612,5
11,9534.07,147,0.29331,5
15,2520.62,123,-0.05309,3
15,5766.37,120,0.16659,5
19,9449.74,50,0.06213,3
13,3443.87,73,-0.11968,4
16,4437.35,116,0.18404,5
17,5570.16,84,-0.15992,5
20,3043.67,79,-0.08495,4
6,4663.19,144,1.44375,5
2,5688.24,111,0.13176,4
5,8035.2,119,0.30611,5
3,3557.05,151,0.46504,5
4,9539.44,63,0.31596,5
18,8803.88,93,0.1022,4
2,7383.06,118,0.02198,2
10,8897.08,15,0.17195,5
15,2019.92,76,0.14744,4
13,9007.02,111,0.57448,5
2,1298.85,21,-0.07539,4
17,6039.96,45,0.10155,4
12,6541.9,27,0.04512,3
12,4281.98,66,-0.12044,4
5,2324.25,107,0.51992,5
20,8499.21,44,0.03859,3
18,7851.55,155,0.00322,1
14,740.9,94,-0.10075,4
5,5186.11,135,-0.59411,5
19,8376.93,84,-0.10863,4
13,1743.58,139,-0.80504,5
14,1743.24,124,0.21904,5
2,9526.32,28,-0.06002,3
1,3376.21,16,0.11357,4
17,9490.25,13,-0.01775,2
3,9459.61,71,0.15956,5
16,2426.81,81,0.14725,4
7,7841.22,128,-0.56922,5
15,5229.16,80,-0.01569,2
16,2871.29,55,0.05448,3
11,1252.08,71,-0.07048,4
8,3817.74,45,0.13811,4
17,2417.08,146,0.28793,5
6,6511.12,65,-0.02327,2
16,6916.33,177,0.1099,4
13,9164.96,134,-0.65971,5
14,8994.42,153,0.06779,3
17,7443.73,116,0.03543,3
3,3381.02,141,0.12963,4
13,9057.49,147,-0.17616,5
20,6421.78,34,0.16997,5
14,1942.0,59,0.077,4
8,4999.11,157,-0.03066,3
18,5016.16,43,0.01779,2
13,2426.02,174,-0.24153,5
5,1020.28,166,-0.30441,5
11,896.39,179,0.00305,1
1,5031.32,6,-0.02675,2
14,2582.92,60,0.17234,5
2,4939.77,151,-0.0652,3
8,6029.57,56,-0.11567,4
3,2036.37,117,0.77031,5
3,5002.06,134,0.40387,5
15,3640.86,48,0.02848,2
12,3954.73,78,0.16455,5
5,2174.75,88,-0.89005,5
5,521.13,11,-0.10234,4
17,5633.31,46,0.07753,4
16,4752.64,118,0.24081,5
15,9425.86,97,-0.14178,4
18,1642.4,128,-0.09439,4
10,4124.9,24,0.32992,5
9,4734.42,167,0.37462,5
20,6356.64,90,-0.02946,2
19,9789.6,85,-0.04701,3
5,5753.16,95,1.02348,5
9,5501.12,58,0.02408,2
17,4429.82,71,0.08071,4
8,3925.9,123,0.35542,5
13,9746.74,109,0.39502,5
17,7060.25,90,-0.13667,4
10,6481.88,26,-0.22216,5
17,4898.21,54,0.14196,4
1,4093.01,70,0.5347,5
14,2474.7,129,0.28007,5
20,7892.51,5,0.00524,1
2,5287.04,61,-0.17867,5
3,7052.98,173,0.34708,5
15,4117.78,177,0.28268,5
17,3199.87,71,0.07687,4
15,3835.67,12,0.02219,2
10,9714.17,23,-0.12865,4
1,1285.22,167,-0.4389,5
7,9738.01,179,0.47278,5
6,4307.23,138,0.00381,1
1,8059.86,33,0.17151,5
10,8967.58,17,0.36164,5
12,4191.23,44,0.22793,5
6,9934.29,43,-0.01704,2
20,5974.71,72,0.12641,4
18,9939.51,141,0.12689,4
14,6731.02,89,-0.00842,1
4,6261.75,89,0.37554,5
18,3511.72,24,-0.07017,4
6,1386.71,14,-0.06823,3
13,3925.3,33,0.4041,5
13,5840.8,7,-0.0436,3
10,837.51,114,-0.38298,5
10,9479.92,157,-1.02696,5
9,8343.17,87,-0.13195,4
8,9821.16,150,0.20686,5
15,8707.79,113,0.2363,5
3,991.43,125,0.5052,5
1,9094.72,135,-0.05532,3
6,3194.12,139,0.56381,5
5,6230.93,101,-1.14491,5
17,6340.99,165,0.06595,3
11,4208.17,48,0.28479,5
9,5782.07,46,0.26376,5
16,2965.03,27,-0.00893,1
20,9879.36,92,0.22304,5
3,7450.93,128,0.03561,3
2,2878.54,130,0.19793,5
6,8362.8,114,0.62901,5
2,8620.48,174,0.41591,5
4,6691.37,11,0.08513,4
16,5972.53,156,0.14248,4
2,3478.39,64,-0.04281,3
9,5427.75,13,0.05998,3
7,2484.78,146,-0.32796,5
4,8173.03,39,0.44779,5
18,5630.73,88,0.02657,2
8,1800.98,46,0.04934,3
2,1419.81,147,-0.04547,3
15,668.26,125,0.07711,4
4,541.23,167,0.12242,4
10,509.97,101,-0.12338,4
4,8762.36,59,0.43153,5
8,5608.46,115,0.24574,5
15,8364.96,178,0.16294,5
6,5606.4,177,0.79199,5
15,7914.94,109,0.30712,5
2,3404.6,32,-0.00286,1
12,7829.8,179,-0.09282,4
18,1670.47,157,0.31754,5
18,8953.66,119,0.079,4
18,8193.44,32,-0.00052,1
4,3154.94,46,0.02115,2
6,5922.44,82,0.481,5
20,6692.3,169,0.18888,5
9,5578.85,156,0.50346,5
8,5798.85,5,0.00768,1
16,4021.78,11,0.03129,3
17,7971.22,69,0.00759,1
20,1644.9,143,0.33724,5
6,9951.9,123,-0.29997,5
8,2516.74,73,0.39944,5
18,7740.25,69,0.05796,3
4,2509.16,124,0.39926,5
12,3660.18,142,-0.25967,5
16,7473.2,85,0.00185,1
8,5046.75,27,-0.18248,5
17,5773.18,169,0.23214,5
16,5842.33,44,-0.02166,2
17,6309.63,93,0.24657,5
4,1607.41,138,-0.42944,5
12,7125.6,63,-0.26091,5
4,9767.35,50,0.17079,5
9,7764.88,172,0.64374,5
4,4306.18,132,0.35618,5
17,6287.19,137,0.12936,4
5,7174.96,134,1.9755,5
7,845.67,163,1.06036,5
4,4688.4,87,0.45121,5
11,9270.57,117,-0.05759,3
1,5156.96,41,-0.20639,5
20,4531.0,30,0.00582,1
6,5100.26,27,-0.01708,2
17,3062.35,171,0.32922,5
12,7733.1,79,0.04066,3
3,1049.29,170,0.03813,3
14,4826.85,15,0.03991,3
1,1832.95,112,-0.14563,4
15,9419.56,55,-0.12627,4
17,8967.61,56,0.13498,4
18,1726.49,111,0.12432,4
3,4068.75,22,0.04196,3
8,6560.93,180,-0.17832,5
6,5911.28,15,0.04746,3
6,6993.01,78,-0.02535,2
5,3856.31,70,0.3621,5
8,6028.4,23,0.02414,2
13,1281.84,117,0.55091,5
13,1623.88,18,-0.04962,3
5,1113.25,120,2.49102,5
5,976.01,6,0.19403,5
9,5315.46,168,0.09294,4
10,7147.84,34,0.08554,4
5,8998.58,15,0.32452,5
1,2599.25,134,0.01517,2
5,5780.33,145,0.69315,5
6,5352.92,144,-0.15003,5
19,9147.62,46,-0.21566,5
12,4988.76,43,-0.05566,3
6,3416.16,173,0.03674,3
17,9247.95,94,0.07308,4
10,2620.56,45,-0.23008,5
16,1211.02,173,0.2964,5
19,8481.61,56,0.09714,4
16,1185.59,146,0.45109,5
12,6416.99,43,0.15892,5
19,575.75,76,-0.27296,5
13,6808.69,137,0.38916,5
17,4183.25,14,0.06245,3
10,3453.1,113,0.41356,5
15,6824.74,97,0.05755,3
13,8381.19,96,0.2874,5
16,2798.44,73,0.02088,2
14,9867.73,164,-0.05443,3
12,3752.13,93,-0.13762,4
12,2203.56,41,0.10144,4
18,3974.59,133,0.10792,4
1,5466.77,55,-0.13328,4
18,1277.57,85,0.1555,5
15,6145.92,105,0.19111,5
17,6072.62,164,0.3706,5
19,3621.2,174,0.34374,5
4,8744.47,139,-0.39265,5
9,5267.79,51,0.22988,5
7,9681.71,103,0.40796,5
9,8119.24,15,-0.11392,4
19,6690.96,73,0.20319,5
3,3819.65,27,0.12417,4
13,8090.35,46,-0.09184,4
14,2845.0,56,0.2724,5
19,9419.99,117,0.13568,4
16,8183.11,156,0.04904,3
6,6194.51,134,0.6704,5
6,3970.45,33,0.46861,5
4,2222.53,163,0.43808,5
3,5630.27,11,0.04874,3
12,2658.01,125,0.29307,5
1,897.88,59,0.22705,5
19,7391.09,94,-0.09791,4
12,5395.44,113,-0.11563,4
20,1595.62,39,-0.03115,3
2,1606.59,12,0.00942,1
20,9124.39,69,0.0515,3
2,2983.82,115,-0.21104,5
4,1046.88,158,-0.0722,4
6,6413.13,116,0.15923,5
1,6091.69,79,-0.2093,5
19,6085.93,133,0.22769,5
12,5011.85,143,0.53118,5
15,1504.91,129,0.15344,5
1,6880.48,115,0.06821,3
8,2392.0,89,-0.1066,4
19,9259.77,134,0.18624,5
11,4542.09,146,0.69124,5
18,6559.59,168,0.42615,5
10,8735.62,166,0.12474,4
6,3569.65,171,-0.38246,5
15,5420.6,53,0.07435,4
3,7699.72,68,0.12838,4
10,3869.45,17,0.12518,4
8,4884.74,145,-0.09674,4
15,1028.89,56,0.09309,4
2,1560.44,95,-0.14755,4
20,9522.96,42,0.30775,5
1,1472.14,88,-0.12336,4
14,3762.58,5,-0.00939,1
16,4675.29,10,-0.02099,2
9,6773.58,151,0.08177,4
14,1640.52,28,-0.12008,4
13,2472.63,66,-0.33448,5
15,827.35,10,0.01734,2
18,6875.59,32,-0.06295,3
3,4279.63,34,0.02456,2
17,9098.74,106,0.15294,5
16,649.07,180,0.17381,5
14,1845.17,53,0.09867,4
6,5820.51,38,-0.33414,5
13,1617.03,28,-0.11381,4
4,776.9,22,0.137,4
7,6413.47,9,-0.04834,3
14,7297.94,115,0.23017,5
10,5905.78,83,-0.50903,5
5,3481.84,149,-1.34534,5
6,7305.23,149,0.60466,5
20,8393.52,48,-0.03196,3
10,9970.46,87,0.63044,5
14,6075.13,38,0.07095,4
8,2954.79,157,0.31884,5
10,5992.75,135,-0.57669,5
1,9594.58,165,-0.29391,5
14,8957.76,30,-0.05167,3
2,912.94,178,0.35988,5
3,1980.38,160,0.3664,5
11,3649.36,104,0.96466,5
1,9658.2,172,0.8195,5
20,4586.44,24,0.10753,4
12,8152.21,94,0.45823,5
14,1305.63,53,0.10999,4
12,6870.22,14,-0.15682,5
11,3034.98,130,0.13663,4
12,4725.03,125,0.05599,3
7,8439.0,63,0.12007,4
8,5065.34,32,0.01379,2
14,4503.75,175,0.06353,3
2,7098.22,101,-0.15801,5
15,6547.61,26,0.0811,4
16,8599.15,22,-0.02338,2
7,8330.43,31,-0.47891,5
15,9363.0,46,0.02508,2
6,3080.86,44,0.22013,5
16,4415.56,28,0.00203,1
8,5973.58,99,0.20561,5
11,3993.33,72,-0.38989,5
8,7937.28,50,0.07068,4
12,8780.16,162,-0.07664,4
13,2326.51,98,-0.22681,5
12,1798.46,84,0.29136,5
13,4909.1,120,0.16169,5
18,5300.59,160,0.27788,5
2,8678.27,32,0.06966,3
12,8474.98,49,-0.08457,4
13,6041.87,62,-0.06419,3
11,8337.85,37,0.47667,5
3,8730.13,43,-0.0093,1
1,6840.36,21,-0.23086,5
9,9545.0,88,0.24829,5
8,6086.55,138,0.24257,5
15,3151.77,115,0.2087,5
1,8222.61,125,0.10653,4
10,4634.74,77,-0.2927,5
2,5565.35,35,-0.13776,4
12,9985.34,62,0.03597,3
20,8438.04,165,0.3245,5
1,1735.33,172,-0.20295,5
5,4048.76,165,0.5566,5
15,3737.97,5,-0.01799,2
3,3824.57,155,0.27974,5
16,8120.74,76,0.00618,1
8,6382.77,88,0.0357,3
6,1657.7,100,-0.07679,4
18,1248.06,51,-0.02287,2
18,3744.14,110,0.15745,5
18,5882.82,54,0.14259,4
7,3272.16,40,0.19867,5
8,1576.14,174,0.22065,5
15,7003.28,5,-0.01934,2
10,9538.8,145,-0.41165,5
16,2639.11,53,-0.08087,4
15,2760.45,50,-0.00328,1
3,4669.54,90,-0.09988,4
7,2404.93,162,1.55745,5
2,3719.23,63,0.17854,5
14,2289.3,60,0.21198,5
14,4114.01,97,-0.08165,4
8,2610.39,160,0.71901,5
19,3169.41,134,0.43478,5
5,4181.33,75,1.03937,5
20,6913.02,35,-0.05323,3
4,7528.99,69,0.58865,5
12,3677.09,27,0.03075,3
14,6213.01,139,0.03617,3
4,987.12,12,-0.06202,3
14,8102.68,102,0.09617,4
1,1161.73,156,0.71194,5
16,9132.27,32,-0.05591,3
19,4744.54,37,-0.18358,5
1,8697.11,27,-0.17979,5
15,9639.63,86,0.09942,4
1,2399.48,81,0.14443,4
3,3105.88,123,0.48378,5
18,4271.28,46,0.0314,3
20,9808.89,88,0.18979,5
14,5214.11,8,-0.02553,2
3,6558.31,100,0.31042,5
14,9957.3,151,0.07777,4
1,7638.89,177,-0.39935,5
16,1152.18,120,-0.07085,4
9,8263.24,122,0.02487,2
7,5009.7,150,-0.40923,5
8,1472.54,94,-0.02304,2
9,7511.77,24,-0.04166,3
2,2718.55,58,-0.00326,1
12,4439.92,154,0.23022,5
3,6925.21,180,0.20706,5
12,9417.54,76,0.11648,4
3,7642.6,158,0.28965,5
3,3727.3,145,0.14507,4
6,4947.95,73,0.11351,4
15,6214.76,81,-0.04269,3
11,3294.19,157,0.50616,5
19,916.18,89,0.37875,5
16,6113.86,46,0.01332,2
17,5652.32,131,0.04575,3
14,8438.09,104,0.1536,5
1,1053.44,69,-0.44683,5
18,664.66,59,0.10979,4
11,751.71,20,-0.08576,4
9,1612.55,172,0.44392,5
4,2000.74,110,0.05565,3
11,7029.45,168,0.47436,5
15,1980.98,35,0.00701,1
20,4949.74,142,0.35646,5
10,8728.7,167,0.86884,5
10,4804.25,169,-0.60484,5
1,7235.16,97,0.14079,4
13,9470.63,29,-0.50762,5
12,4106.19,174,0.14624,4
10,3640.5,34,-0.5177,5
20,3421.24,84,-0.02066,2
15,7502.42,145,-0.01447,2
10,6756.52,16,0.49518,5
19,2383.11,79,0.28488,5
2,8783.96,176,-0.19284,5
1,6284.44,39,-0.23959,5
20,3147.71,137,-0.1729,5
5,4974.21,33,-0.92898,5
2,9087.09,24,0.02653,2
10,2413.56,14,-0.03423,3
20,6523.45,140,0.56418,5
7,8824.94,23,-0.00293,1
8,601.43,9,-0.01178,2
12,1574.24,146,0.10329,4
6,8166.31,31,0.16262,5
19,2922.9,126,0.54418,5
10,689.13,151,-0.89722,5
17,6936.74,132,0.17741,5
9,5542.53,178,0.219,5
5,7800.08,126,0.78755,5
9,2719.02,10,-0.04572,3
12,7390.19,179,-0.015,2
12,4015.85,156,0.26895,5
12,8172.26,5,-0.00265,1
12,4245.49,174,0.56805,5
7,2081.22,106,0.60281,5
6,3303.48,67,-0.27893,5
6,5032.02,55,0.22125,5
12,1861.46,35,0.15156,5
20,7600.35,86,0.12162,4
3,1192.01,173,-0.27386,5
15,6144.15,79,0.05351,3
2,4277.47,131,0.2321,5
16,1713.42,130,0.03049,3
11,9420.38,17,0.31089,5
8,1875.77,28,0.19894,5
2,1671.03,24,-0.02219,2
14,3409.7,25,0.10401,4
11,1438.27,76,0.43634,5
18,9056.13,162,0.18966,5
3,5912.28,43,0.08815,4
3,8775.09,31,0.07366,4
6,9588.62,57,-0.12742,4
19,2527.38,172,-0.24504,5
4,3132.73,147,-0.39343,5
20,7659.24,24,0.1123,4
15,3163.98,95,0.13142,4
12,3481.49,97,0.26006,5
19,1935.99,49,-0.09327,4
16,1029.2,101,0.07347,4
16,4830.37,89,0.12034,4
7,6909.3,85,0.65973,5
15,5023.67,174,0.23462,5
15,2018.2,108,0.05432,3
16,2866.99,167,0.07663,4
6,8820.28,100,-0.1905,5
17,5401.15,104,-0.07895,4
19,1812.14,175,-0.24252,5
17,9017.29,137,-0.33694,5
6,7099.64,153,-0.83069,5
4,5619.08,102,0.33475,5
20,7381.24,127,0.52352,5
11,8780.8,164,0.5445,5
13,8424.81,136,0.11914,4
1,2210.24,7,0.25052,5
4,1208.4,71,0.05929,3
18,4432.37,121,0.13099,4
10,8946.36,38,0.54562,5
15,6461.35,84,0.238,5
20,4948.08,158,0.25637,5
6,1674.93,153,-0.00327,1
4,6585.69,63,0.04212,3
18,5699.01,33,0.07065,4
8,7993.88,39,0.14629,4
9,5016.76,106,0.24797,5
16,7339.4,137,0.09811,4
17,2236.34,140,0.11828,4
13,7626.07,114,0.85778,5
1,610.27,25,0.33518,5
4,2180.08,86,-0.32941,5
10,8542.32,77,-0.05479,3
5,7508.05,153,0.25655,5
9,5337.52,28,0.07856,4
14,5062.4,117,0.0201,2
6,3532.88,16,0.19841,5
1,5969.71,64,-0.13212,4
15,4732.35,102,-0.04911,3
4,7402.06,87,-0.17732,5
4,3729.77,167,-0.09759,4
8,953.33,156,0.16011,5
19,1183.21,76,-0.02446,2
15,2650.49,23,0.08303,4
3,3022.42,124,0.45692,5
16,5118.6,177,-0.1402,4
12,7685.84,159,0.18505,5
20,7301.83,152,-0.2316,5
2,7557.5,110,0.25046,5
12,8326.66,66,-0.08323,4
5,3821.6,27,0.08155,4
4,9311.23,19,0.19776,5
9,4989.2,160,0.03414,3
9,1599.18,32,-0.02137,2
6,1464.88,180,0.73089,5
15,7384.84,65,0.0883,4
8,8021.07,26,-0.01721,2
16,4153.07,155,0.27509,5
14,6001.41,37,0.03426,3
9,1830.06,78,0.38084,5
19,1058.23,58,0.11316,4
16,3718.67,42,-0.04188,3
3,4352.88,126,0.17575,5
6,9851.7,164,0.37128,5
8,3133.64,95,-0.10699,4
14,8241.97,134,-0.0025,1
17,8341.61,108,0.17349,5
6,6455.41,106,0.29597,5
3,1129.45,125,-0.18796,5
2,7120.39,96,-0.14253,4
6,4665.37,29,-0.20916,5
15,7312.64,31,-0.00948,1
18,8808.74,76,0.25885,5
10,5000.2,90,-0.5714,5
12,2942.42,85,0.15389,5
15,7719.29,131,0.15501,5
7,623.84,32,0.60363,5
9,2411.43,110,0.53872,5
11,1773.65,94,-0.0636,3
3,2632.73,65,0.07315,4
20,7418.8,153,0.2457,5
5,9132.91,167,1.82808,5
12,5602.54,32,-0.04196,3
6,9638.33,19,0.07569,4
9,6926.36,120,-0.20359,5
20,8311.08,96,0.19292,5
12,3811.01,78,-0.09491,4
4,802.07,160,0.02562,2
11,761.52,116,0.48095,5
9,1991.19,56,-0.10026,4
20,4169.09,102,0.06625,3
5,3783.2,73,-1.00085,5
20,6590.13,95,-0.02202,2
16,3524.91,51,0.13253,4
16,6747.68,72,0.09288,4
9,8213.29,28,0.16038,5
10,3525.66,39,0.70828,5
18,5748.26,91,-0.13151,4
16,2835.02,79,0.05669,3
15,6188.87,154,0.12497,4
19,3289.59,18,-0.1044,4
9,1771.7,135,0.41705,5
18,9539.26,96,0.10525,4
10,2244.97,175,-0.3459,5
7,4144.53,40,0.54571,5
2,1326.91,110,0.12208,4
12,1037.4,7,0.03817,3
7,1541.14,40,0.11247,4
16,947.24,41,0.06852,3
7,1082.8,61,0.01636,2
15,8189.52,150,0.00901,1
17,3025.95,157,0.3778,5
15,5214.57,104,0.01964,2
1,9780.46,133,0.62581,5
14,1184.29,76,0.15254,5
17,4277.01,115,0.08256,4
12,8805.73,179,0.46664,5
9,3447.91,34,0.015,2
3,8276.01,97,0.16597,5
6,1197.24,67,0.42752,5
17,6626.53,8,0.03371,3
15,2818.39,87,0.0493,3
2,7343.36,31,0.26097,5
18,4443.69,162,0.24699,5
13,9631.92,94,-0.01963,2
13,4078.09,108,-0.69997,5
3,2183.33,61,0.01062,2
7,4443.84,95,-0.11556,4
3,3538.92,17,-0.24679,5
17,1726.83,51,0.08739,4
11,3953.68,150,0.44337,5
2,6468.57,98,-0.20611,5
17,7405.83,28,0.03696,3
16,6004.55,47,0.19063,5
7,4314.02,105,0.46595,5
16,9441.87,167,0.13171,4
1,1376.62,180,0.07432,4
4,1893.93,69,0.18251,5
4,8872.3,120,0.54641,5
3,5153.91,118,0.16292,5
18,1531.23,87,0.27346,5
6,6409.88,165,0.88166,5
12,5487.17,95,0.03706,3
20,5638.4,12,0.06973,3
20,4323.84,136,0.15724,5
9,7194.38,129,0.62541,5
2,6881.25,19,-0.10507,4
17,2232.66,151,-0.05026,3
9,9898.06,173,0.02723,2
19,7940.24,80,-0.12539,4
18,1743.97,135,0.10554,4
7,1463.2,61,0.6226,5
16,3750.86,141,-0.00386,1
4,5775.72,174,0.88059,5
17,7103.44,60,-0.07551,4
10,5069.13,79,0.62682,5
1,1752.95,110,-0.10076,4
7,8364.57,52,0.6068,5
12,4474.27,158,0.03734,3
19,1201.81,128,0.25282,5
12,9924.91,47,0.10739,4
6,6529.03,178,-0.01995,2
12,576.47,123,-0.07138,4
14,6249.99,167,-0.01122,2
20,8201.06,107,0.05601,3
2,6134.44,53,0.17258,5
6,5641.88,137,0.60569,5
18,4519.42,104,0.11105,4
10,4168.72,31,0.12224,4
18,1505.41,92,0.15766,5
15,4095.6,26,0.09391,4
6,4960.97,30,-0.42503,5
5,980.47,38,-0.56908,5
13,4950.9,175,-0.05368,3
18,2681.62,167,-0.00377,1
11,9457.38,51,0.02927,2
5,7660.33,153,-0.31642,5
5,9447.83,89,-0.32473,5
2,4543.92,128,0.15165,5
10,8290.55,10,0.23801,5
5,6375.28,117,1.0733,5
1,7280.93,161,0.4605,5
18,4236.1,166,0.2007,5
17,8640.17,45,-0.01501,2
8,4693.97,133,0.53537,5
16,6469.81,104,-0.05416,3
18,7607.3,28,0.03262,3
5,4900.93,123,0.81809,5
17,4686.93,136,0.27287,5
19,7607.94,175,0.1392,4
8,9339.34,31,0.08577,4
8,5001.33,17,-0.00076,1
13,1379.68,139,1.03326,5
1,4639.72,179,1.07954,5
7,3601.32,97,-0.61098,5
8,8413.91,116,0.20861,5
9,5456.82,132,0.36424,5
5,1974.74,165,-0.91572,5
2,2165.16,105,-0.00934,1
8,714.7,173,0.17605,5
16,753.73,22,0.06053,3
8,9474.95,82,0.35434,5
3,6122.28,13,0.01987,2
12,2993.12,111,0.70321,5
9,685.06,165,-0.0212,2
1,8722.95,25,0.15407,5
9,5287.58,11,-0.05433,3
6,6728.81,53,0.3861,5
10,2001.44,77,-0.06028,3
11,9353.33,155,0.70551,5
14,8379.05,170,0.50194,5
13,5598.98,176,0.15701,5
14,6237.46,86,0.00802,1
6,6580.28,104,1.17366,5
11,9275.5,8,0.09072,4
6,6339.22,137,-0.32162,5
8,8774.03,84,0.27924,5
16,5835.07,118,0.0084,1
14,3171.28,103,0.18163,5
19,3111.5,133,0.1692,5
17,2597.16,125,0.18049,5
5,3450.62,161,-1.06386,5
9,1414.87,171,0.27789,5
5,2612.66,31,-0.76318,5
8,2278.16,14,0.045,3
20,6542.42,61,0.28705,5
12,1989.38,156,-0.11698,4
17,6338.67,112,0.091,4
9,4707.92,36,-0.01153,2
1,3999.87,104,0.56298,5
2,8217.39,128,0.24348,5
15,2588.66,84,0.02391,2
9,6990.29,98,-0.26986,5
14,8064.18,156,0.37818,5
8,8009.2,137,0.12933,4
5,3690.26,58,-0.48934,5
5,6397.44,147,1.3497,5
2,904.07,47,0.06646,3
4,3849.59,96,-0.28277,5
10,7231.56,95,-1.29532,5
20,3375.68,22,0.06433,3
1,1077.79,54,-0.35524,5
13,4640.59,87,-0.05898,3
5,5630.96,31,-0.10104,4
19,8605.06,92,-0.0647,3
2,4602.87,7,0.04109,3
13,9266.83,80,0.04051,3
19,9711.06,42,-0.19231,5
17,7433.29,165,0.29822,5
8,7774.71,28,-0.00834,1
18,5655.77,55,0.02436,2
13,8024.97,180,-0.14036,4
11,1422.96,11,0.12308,4
14,6431.87,47,-0.20508,5
2,6588.12,121,0.23253,5
16,3939.88,55,0.02707,2
15,9598.1,47,0.15223,5
11,6405.07,22,-0.07013,4
5,2916.63,115,0.1878,5
16,6043.52,95,0.14726,4
8,9151.9,16,0.0373,3
16,6056.24,165,0.0404,3
2,8449.52,62,0.05728,3
2,9618.5,118,0.11968,4
18,3722.93,99,0.09049,4
18,8707.86,159,0.31524,5
6,2852.33,108,-0.42634,5
19,7032.62,125,-0.45167,5
8,1061.97,66,0.24652,5
7,8064.49,90,0.04662,3
9,7123.47,8,0.14177,4
15,1542.64,124,-0.00668,1
16,2403.5,9,0.01865,2
10,8663.1,107,-0.47097,5
8,6899.11,117,-0.01668,2
7,1988.82,172,0.11432,4
